ID_FASHI,Name,ra,dec,ra-dec_err,cz,cz_err,cz_min,cz_max,v_radio,v_radio_err,freq,freq_err,z,z_err,ell_maj,ell_min,ell_pa,W_50,W_50_err,W_20,W_20_err,F_peak,F_peak_err,S_bf,S_bf_err,S_sum,S_sum_err,rms,SNR,distance,distance_err,log10Mass,log10Mass_err ,ell_ratio
20230038574.0,J072045.05+572422.5,110.1877,57.4062,0.0032,7741.17,2.68,7628.85,7853.1,7546.31,2.68,1384.6516,0.0127,0.02582,9e-06,3.0,3.0,0,20.86,5.36,79.18,8.04,4.48,0.97,172.32,34.5,121.75,34.5,0.97,15.3,111.07,5.55,8.69,0.1,1.0
20230039657.0,J083802.42+585307.4,129.5101,58.8854,0.0022,2247.76,0.83,2146.83,2350.1,2231.03,0.83,1409.8352,0.0039,0.0075,3e-06,7.7,6.5,64,19.73,1.66,31.66,2.49,20.52,1.91,479.6,65.37,465.24,65.37,1.91,22.33,35.86,1.79,8.16,0.07,0.8441558441558441
20230057104.0,J023614.86+590537.0,39.0619,59.0936,0.0026,11043.56,3.0,10901.04,11171.74,10651.2,3.0,1369.9407,0.0142,0.03684,1.1e-05,2.4,2.4,0,21.41,5.99,126.78,8.99,2.42,0.56,120.48,21.7,98.11,21.7,0.56,18.38,149.92,7.5,8.79,0.09,1.0
20230063718.0,J124203.72+592650.4,190.5155,59.4473,0.0033,2274.11,1.25,2212.43,2310.8,2256.99,1.25,1409.7122,0.0059,0.00759,4e-06,3.1,3.1,0,16.9,2.5,28.4,3.74,9.37,1.17,177.54,26.27,160.38,26.27,1.17,14.58,35.52,1.78,7.72,0.08,1.0
20230040464.0,J133647.47+601016.6,204.1978,60.1713,0.0033,7494.6,3.13,7290.6,7670.42,7311.81,3.13,1385.7627,0.0148,0.025,1.1e-05,3.7,3.7,0,18.95,6.26,90.45,9.39,4.41,1.35,216.22,63.65,46.27,63.65,1.35,14.5,103.37,5.17,8.73,0.14,1.0
20230040474.0,J011731.19+601112.9,19.38,60.1869,0.002,5310.88,2.32,5109.88,5504.43,5218.43,2.32,1395.681,0.011,0.01772,8e-06,5.7,5.0,111,12.76,4.64,126.7,6.95,10.89,2.7,602.42,130.32,312.36,130.32,2.7,24.72,64.7,3.23,8.77,0.1,0.8771929824561403
20230040692.0,J023244.50+603538.1,38.1854,60.5939,0.0023,5687.16,0.88,5617.39,5758.19,5581.28,0.88,1393.9618,0.0042,0.01897,3e-06,5.2,4.9,155,20.73,1.76,32.83,2.65,22.74,2.12,515.9,58.04,540.53,58.04,2.12,21.17,76.2,3.81,8.84,0.07,0.9423076923076923
20230040710.0,J142312.20+603815.1,215.8008,60.6375,0.0083,11083.45,3.01,10762.79,11088.72,10688.3,3.01,1369.765,0.0143,0.03697,1.1e-05,3.4,3.4,0,3.5,6.02,14.07,9.03,6.24,1.55,42.41,14.97,62.33,14.97,1.55,5.8,150.21,7.51,8.34,0.16,1.0
20230040774.0,J075223.46+604443.2,118.0977,60.7453,0.0014,6859.19,1.69,6724.3,6960.68,6705.76,1.69,1388.6341,0.008,0.02288,6e-06,2.5,2.5,0,6.36,3.37,124.35,5.06,6.2,1.31,288.83,47.84,224.5,47.84,1.31,34.57,98.71,4.94,8.81,0.08,1.0
20230040892.0,J045621.96+605917.3,74.0915,60.9881,0.0047,5119.97,1.58,5043.57,5197.18,5034.0,1.58,1396.5548,0.0075,0.01708,5e-06,3.2,3.2,0,20.81,3.16,29.9,4.73,7.22,1.31,154.6,37.77,96.54,37.77,1.31,10.25,66.0,3.3,8.19,0.11,1.0
20230063937.0,J132131.94+621449.8,200.3831,62.2472,0.0012,2998.3,1.43,2900.94,3164.42,2968.61,1.43,1406.3406,0.0068,0.01,5e-06,4.0,4.0,0,9.28,2.87,133.31,4.3,27.16,4.18,1340.9,164.02,1167.56,164.02,4.18,41.67,47.65,2.38,8.85,0.07,1.0
20230063962.0,J040550.22+623340.0,61.4593,62.5611,0.0018,266.13,0.69,233.12,310.9,265.89,0.69,1419.146,0.0033,0.00089,2e-06,5.3,5.3,0,20.44,1.39,32.19,2.08,41.51,3.08,934.63,60.09,832.39,60.09,3.08,26.53,8.6,0.43,7.21,0.05,1.0
20230064006.0,J012756.28+624712.2,21.9845,62.7867,0.002,6634.15,2.52,6523.63,6746.41,6490.52,2.52,1389.6539,0.012,0.02213,9e-06,3.7,3.7,0,16.99,5.04,140.89,7.57,6.79,1.8,444.73,63.77,409.95,63.77,1.8,23.68,94.24,4.71,8.96,0.08,1.0
20230064090.0,J095607.10+631214.7,149.0296,63.2041,0.0076,13281.54,3.64,13181.77,13372.1,12718.1,3.64,1360.1479,0.0173,0.0443,1.3e-05,2.6,2.6,0,19.85,7.28,38.27,10.93,2.83,1.0,71.21,31.66,130.56,31.66,1.0,6.32,180.61,9.03,8.72,0.2,1.0
20230064113.0,J053309.13+632047.7,83.288,63.3466,0.0033,10484.69,2.32,10383.24,10556.13,10130.4,2.32,1372.4083,0.011,0.03497,8e-06,2.8,2.8,0,19.64,4.63,58.57,6.95,4.98,0.97,157.66,29.48,103.93,29.48,0.97,14.46,143.75,7.19,8.87,0.09,1.0
